Date,Flow,SSC
2013-07-10,1.31491127522816,7
2013-07-11,1.1732182498803,103
2013-07-12,1.03152522453244,8
2013-07-13,1.10237173720637,8
2013-07-14,0.966346432872419,5
2013-07-15,0.85299201259413,5
2013-07-16,0.759474615864541,5
2013-07-17,0.691461963697567,6
2013-07-18,0.654621777107123,6
2013-07-19,0.609280008995807,5
2013-07-20,0.566772101391448,4
2013-07-21,0.529931914801004,4
2013-07-22,0.586609124940149,110
2013-07-23,2.42011687294148,74
2013-07-24,1.17888597089421,7
2013-07-25,0.906835362226317,6
2013-07-26,0.79064708144107,5
2013-07-27,0.716966708260182,4
2013-07-28,0.898333780705446,22
2013-07-29,0.833154989045429,5
2013-07-30,0.705631266232353,5
2013-07-31,0.643286335079294,6
2013-08-01,0.705631266232353,10
2013-08-02,0.765142336878455,38
2013-08-03,0.711298987246268,7
2013-08-04,0.62628317203755,5
2013-08-05,0.57527368291232,10
2013-08-06,0.54410121733579,79
2013-08-07,0.54410121733579,188
2013-08-08,0.595110706461021,202
2013-08-09,6.09280008995807,427
2013-08-10,5.27098054294047,25
2013-08-11,3.11724655765297,12
2013-08-12,2.28975928962145,9
2013-08-13,2.0148748204466,9
2013-08-14,1.77966439836915,8
2013-08-15,1.45943816108298,21
2013-08-16,1.24689862306119,7
2013-08-17,1.09670401619245,4
2013-08-18,1.00035275895591,3
2013-08-19,0.909669222733275,4
2013-08-20,0.818985686510643,66
2013-08-21,0.736803731808883,9
2013-08-22,0.685794242683652,15
2013-08-23,0.623449311530593,7
2013-08-24,0.592276845954063,5
2013-08-25,0.538433496321876,4
2013-08-26,0.563938240884491,6
2013-08-27,0.765142336878455,15
2013-08-28,0.549768938349705,4
2013-08-29,0.515762612266218,6
2013-08-30,0.481756286182731,8
2013-08-31,0.470420844154902,4
2013-09-01,1.81933844546655,246
2013-09-02,2.27558998708666,101
2013-09-03,2.70350292363721,87
2013-09-04,1.48210904513864,93
2013-09-05,1.08820243467158,13
2013-09-06,0.921004664761104,NA
2013-09-07,0.79064708144107,NA
2013-09-08,0.73963759231584,NA
2013-09-09,0.654621777107123,NA
2013-09-10,0.648954056093208,NA
2013-09-11,0.799148662961942,NA
2013-09-12,1.49911220818038,NA
2013-09-13,1.64080523352824,NA
2013-09-14,1.11937490024811,NA
2013-09-15,0.909669222733275,NA
2013-09-16,0.833154989045429,NA
2013-09-17,0.742471452822797,NA
2013-09-18,0.660289498121037,NA
2013-09-19,0.620615451023636,NA
2013-09-20,0.57527368291232,NA
2013-09-21,0.569605961898406,NA
2013-09-22,0.665957219134952,NA
2013-09-23,0.527098054294047,NA
2013-09-24,0.487424007196646,NA
2013-09-25,0.456251541620116,NA
2013-09-26,0.433580657564458,NA
2013-09-27,0.4109097735088,NA
2013-09-28,0.408075913001843,NA
2013-09-29,0.385405028946185,NA
2013-09-30,0.382571168439228,NA
2013-10-01,0.35990028438357,NA
2013-10-02,0.340063260834869,NA
2013-10-03,0.325893958300083,NA
2013-10-04,0.325893958300083,NA
2013-10-05,0.473254704661859,NA
2013-10-06,0.433580657564458,NA
2013-10-07,1.33474829877686,NA
2013-10-08,1.49344448716647,NA
2013-10-09,1.06836541112288,NA
2013-10-10,0.909669222733275,NA
2013-10-11,0.813317965496728,NA
2013-10-12,0.733969871301926,NA
2013-10-13,0.685794242683652,NA
2013-10-14,0.654621777107123,NA
2013-10-15,0.623449311530593,NA
2013-10-16,0.595110706461021,NA
2013-10-17,0.583775264433192,NA
2013-10-18,0.799148662961942,NA
2013-10-19,0.677292661162781,NA
2013-10-20,0.620615451023636,NA
2013-10-21,0.589442985447106,NA
2013-10-22,0.563938240884491,NA
2013-10-23,0.555436659363619,NA
2013-10-24,0.538433496321876,NA
2013-10-25,0.52426419378709,NA
2013-10-26,0.527098054294047,NA
2013-10-27,0.504427170238389,NA
2013-10-28,0.478922425675774,NA
2013-10-29,0.456251541620116,4.6
2013-10-30,0.447749960099244,4.4
2013-10-31,0.52426419378709,11.7
2013-11-01,1.01735592199765,37.6
2013-11-02,0.90400150171936,6.9
2013-11-03,0.804816383975857,4.7
2013-11-04,0.784979360427156,4.1
2013-11-05,0.756640755357583,4.2
2013-11-06,0.750973034343669,4.1
2013-11-07,0.847324291580215,8.3
2013-11-08,0.830321128538472,4.7
2013-11-09,0.77081005789237,3.9
2013-11-10,0.779311639413241,4.2
2013-11-11,0.742471452822797,6.9
2013-11-12,0.719800568767139,38.6
2013-11-13,0.68862810319061,15.7
2013-11-14,0.682960382176695,9.5
2013-11-15,0.65745563761408,24.4
2013-11-16,0.646120195586251,7.9
2013-11-17,0.654621777107123,6.2
2013-11-18,1.17605211038726,78.3
2013-11-19,1.10803945822028,52.1
2013-11-20,1.07970085315071,27.3
2013-11-21,1.06553155061592,11.1
2013-11-22,1.06553155061592,16.6
2013-11-23,1.03152522453244,8.5
2013-11-24,0.960678711858505,6.6
2013-11-25,0.895499920198488,12.2
2013-11-26,0.932340106788932,19.8
2013-11-27,13.7725620638122,701
2013-11-28,8.78496757156745,56.8
2013-11-29,5.49768938349705,25
2013-11-30,4.16577494522715,17.9
2013-12-01,3.45730981848783,16.1
2013-12-02,2.94721492723553,NA
2013-12-03,2.51080040916412,NA
2013-12-04,2.17640486934316,NA
2013-12-05,2.02621026247443,19.1
2013-12-06,2.19907575339882,NA
2013-12-07,2.13673082224576,NA
2013-12-08,1.9355267262518,9.5
2013-12-09,1.94686216827962,9.6
2013-12-10,1.85901249256395,9.9
2013-12-11,1.68614700163956,20.3
2013-12-12,1.55862327882648,16.4
2013-12-13,1.42543183499949,15.1
2013-12-14,1.3120774147212,11.7
2013-12-15,1.34324988029773,11.8
2013-12-16,1.14487964481073,14.1
2013-12-17,1.00318661946286,14.4
2013-12-18,0.989017316928077,9.9
2013-12-19,0.960678711858505,15.9
2013-12-20,1.19588913393596,19.4
2013-12-21,2.63832413197719,41.5
2013-12-22,8.44490431073258,233
2013-12-23,10.1452206149069,46.5
2013-12-24,8.10484104989771,15.8
2013-12-25,5.78107543419277,11.5
2013-12-26,4.59085402127073,13.9
2013-12-27,3.7973730793227,8.8
2013-12-28,3.23060097793126,16.6
2013-12-29,3.99574331480971,26.3
2013-12-30,4.53417681113159,13.2
2013-12-31,3.48564842355741,NA
2014-01-01,3.06056934751382,12.4
2014-01-02,2.86219911202681,10.8
2014-01-03,2.42295073344844,9.9
2014-01-04,2.22741435846839,15
2014-01-05,2.31809789469102,24.3
2014-01-06,12.0155685494987,196
2014-01-07,7.11298987246268,NA
2014-01-08,5.89442985447106,NA
2014-01-09,5.01593309731432,NA
2014-01-10,4.64753123140988,NA
2014-01-11,10.938701556855,146
2014-01-12,11.8455369190813,35.8
2014-01-13,7.65142336878455,16.5
2014-01-14,6.31950893051465,20.8
2014-01-15,5.29931914801004,13.3
2014-01-16,4.50583820606201,10.8
2014-01-17,3.85405028946185,9.6
2014-01-18,3.42897121341826,8.3
2014-01-19,3.00389213737468,7.7
2014-01-20,2.69500134211634,10.2
2014-01-21,2.28692542911449,9.3
2014-01-22,1.88735109763352,11.1
2014-01-23,1.72298718823,NA
2014-01-24,1.6238020704865,6.6
2014-01-25,1.60113118643084,7
2014-01-26,1.58129416288214,6.8
2014-01-27,1.60113118643084,3.3
2014-01-28,1.32624671725599,3.5
2014-01-29,1.19022141292204,3.7
2014-01-30,1.12504262126203,3.5
2014-01-31,1.12504262126203,5
2014-02-01,1.11087331872724,5.4
2014-02-02,1.11937490024811,5.3
2014-02-03,1.03719294554635,6.1
2014-02-04,0.923838525268061,5.6
2014-02-05,0.923838525268061,NA
2014-02-06,0.855825873101087,NA
2014-02-07,0.79064708144107,NA
2014-02-08,0.745305313329755,NA
2014-02-09,0.733969871301926,NA
2014-02-10,0.714132847753225,6.1
2014-02-11,0.643286335079294,5.7
2014-02-12,0.623449311530593,5.7
2014-02-13,0.674458800655824,5
2014-02-14,0.677292661162781,6.1
2014-02-15,0.654621777107123,6.8
2014-02-16,0.629117032544508,5.9
2014-02-17,0.609280008995807,5.3
2014-02-18,0.597944566967978,4.6
2014-02-19,0.595110706461021,4.8
2014-02-20,0.660289498121037,5.3
2014-02-21,1.03719294554635,28.8
2014-02-22,1.11654103974115,20.5
2014-02-23,0.952177130337633,9.9
2014-02-24,0.855825873101087,6.9
2014-02-25,0.745305313329755,6.6
2014-02-26,0.702797405725396,6.1
2014-02-27,0.674458800655824,5.5
2014-02-28,0.654621777107123,4.4
2014-03-01,0.682960382176695,4.2
2014-03-02,0.691461963697567,3.9
